,title,year,runtime[min],genres,averagerating,numvotes,domestic_gross,foreign_gross,total_gross,genre0,genre1,genre2
134,Ice Age: Collision Course,2016,94.0,"Adventure,Animation,Comedy",5.7,48932,64099999.0,344500000.0,408599999.0,Adventure,Animation,Comedy
135,Prometheus,2012,124.0,"Adventure,Mystery,Sci-Fi",7.0,538720,126500000.0,276900000.0,403400000.0,Adventure,Mystery,Sci-Fi
136,Snow White And The Huntsman,2012,127.0,"Action,Adventure,Drama",6.1,258938,155300000.0,241300000.0,396600000.0,Action,Adventure,Drama
137,Mamma Mia! Here We Go Again,2018,114.0,"Comedy,Musical,Romance",6.7,60355,120600000.0,274400000.0,395000000.0,Comedy,Musical,Romance
138,Solo: A Star Wars Story,2018,135.0,"Action,Adventure,Fantasy",7.0,226243,213800000.0,179200000.0,393000000.0,Action,Adventure,Fantasy
139,The Wolf Of Wall Street,2013,180.0,"Biography,Crime,Drama",8.2,1035358,116900000.0,275100000.0,392000000.0,Biography,Crime,Drama
140,Independence Day: Resurgence,2016,120.0,"Action,Adventure,Sci-Fi",5.2,155344,103100000.0,286500000.0,389600000.0,Action,Adventure,Sci-Fi
141,Cars 3,2017,102.0,"Adventure,Animation,Comedy",6.8,59408,152900000.0,231000000.0,383900000.0,Adventure,Animation,Comedy
142,Fifty Shades Darker,2017,118.0,"Drama,Romance",4.6,81706,114600000.0,267000000.0,381600000.0,Drama,Romance,
143,Mad Max: Fury Road,2015,120.0,"Action,Adventure,Sci-Fi",8.1,780910,153600000.0,224800000.0,378400000.0,Action,Adventure,Sci-Fi
144,Taken 2,2012,92.0,"Action,Thriller",6.3,273106,139900000.0,236300000.0,376200000.0,Action,Thriller,
145,G.I. Joe: Retaliation,2013,110.0,"Action,Adventure,Sci-Fi",5.8,165536,122500000.0,253200000.0,375700000.0,Action,Adventure,Sci-Fi
146,Spider-Man: Into The Spider-Verse,2018,117.0,"Action,Adventure,Animation",8.5,210869,190200000.0,185300000.0,375500000.0,Action,Adventure,Animation
147,The Adventures Of Tintin,2011,107.0,"Action,Adventure,Animation",7.3,202430,77600000.0,296400000.0,374000000.0,Action,Adventure,Animation
148,Penguins Of Madagascar,2014,92.0,"Adventure,Animation,Comedy",6.7,72551,83400000.0,289700000.0,373100000.0,Adventure,Animation,Comedy
149,Fifty Shades Freed,2018,105.0,"Drama,Romance,Thriller",4.5,43893,100400000.0,271500000.0,371900000.0,Drama,Romance,Thriller
150,Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",6.9,668137,176700000.0,193900000.0,370600000.0,Action,Adventure,Sci-Fi
151,Edge Of Tomorrow,2014,113.0,"Action,Sci-Fi",7.9,546284,100200000.0,270300000.0,370500000.0,Action,Sci-Fi,
152,Gone Girl,2014,149.0,"Drama,Mystery,Thriller",8.1,761592,167800000.0,201600000.0,369400000.0,Drama,Mystery,Thriller
153,The Nun,2018,96.0,"Horror,Mystery,Thriller",5.4,89254,117500000.0,248100000.0,365600000.0,Horror,Mystery,Thriller
154,Night At The Museum: Secret Of The Tomb,2014,98.0,"Adventure,Comedy,Family",6.2,93103,113700000.0,249500000.0,363200000.0,Adventure,Comedy,Family
155,Noah,2014,138.0,"Action,Adventure,Drama",5.8,229326,101200000.0,261399999.0,362599999.0,Action,Adventure,Drama
156,The Hangover Part Iii,2013,100.0,"Adventure,Comedy,Crime",5.8,270695,112200000.0,249800000.0,362000000.0,Adventure,Comedy,Crime
157,Monster Hunt 2,2018,110.0,"Adventure,Comedy,Sci-Fi",5.3,991,706000.0,361000000.0,361706000.0,Adventure,Comedy,Sci-Fi
158,The Karate Kid,2010,140.0,"Action,Drama,Family",6.2,146401,176600000.0,182500000.0,359100000.0,Action,Drama,Family
159,Hotel Transylvania,2012,91.0,"Animation,Comedy,Family",7.1,204571,148300000.0,210100000.0,358400000.0,Animation,Comedy,Family
160,The Legend Of Tarzan,2016,110.0,"Action,Adventure,Drama",6.3,150154,126600000.0,230100000.0,356700000.0,Action,Adventure,Drama
161,X-Men: First Class,2011,131.0,"Action,Adventure,Sci-Fi",7.7,608930,146400000.0,207200000.0,353600000.0,Action,Adventure,Sci-Fi
162,Furious 7,2015,137.0,"Action,Crime,Thriller",7.2,335074,353000000.0,1163.0,353001163.0,Action,Crime,Thriller
163,The Angry Birds Movie,2016,97.0,"Action,Animation,Comedy",6.3,69624,107500000.0,244800000.0,352300000.0,Action,Animation,Comedy
